return_id,order_id,product_id,customer_id,return_date,return_quantity,refund_amount,return_reason,return_status
9000067,5242702,20886,109279.0,2024-05-20,1,358.7,Changed Mind,Approved
9000068,5225707,21670,139169.0,2025-06-08,1,1245.48,Quality Issue,Approved
9000069,5262321,20298,149907.0,2024-05-03,1,9338.4,Changed Mind,Approved
9000070,5446982,21758,128575.0,2024-07-23,1,1012.66,Wrong Item,Approved
9000071,5352869,20972,109848.0,2025-10-11,1,912.59,Wrong Item,Approved
9000072,5090677,20601,129588.0,2026-02-06,4,3042.01,Not as Expected,Approved
9000073,5212843,20470,114782.0,2025-12-07,1,123.65,Quality Issue,Approved
9000074,5122824,20870,110609.0,2025-10-15,4,14014.19,Changed Mind,Approved
9000075,5310859,20233,139036.0,2024-08-06,2,30737.98,Not as Expected,Approved
9000076,5177117,21414,139558.0,2025-09-05,2,59068.8,Not as Expected,Approved
9000077,5496563,21270,128247.0,2025-11-08,1,8094.66,Not as Expected,Approved
9000078,5122804,21513,115138.0,2026-05-29,2,5672.47,Quality Issue,Approved
9000079,5014424,21291,120807.0,2024-04-18,1,8184.44,Changed Mind,Approved
9000080,5487532,21189,115040.0,2025-04-17,1,9995.26,Changed Mind,Approved
9000081,5043938,21088,137130.0,2024-03-14,1,845.55,Not as Expected,Approved
9000082,5363058,21867,117251.0,2024-08-23,1,7265.44,Wrong Item,Approved
9000083,5377699,20506,132635.0,2024-11-19,2,11455.04,Quality Issue,Approved
9000084,5180999,21559,142043.0,2024-04-10,1,749.91,Changed Mind,Approved
9000085,5050799,21434,141637.0,2024-06-11,1,6848.64,Changed Mind,Approved
9000086,5495593,21404,109378.0,2026-04-25,1,3996.2,Changed Mind,Approved
9000087,5107632,21798,147008.0,2025-12-25,1,3755.81,Changed Mind,Approved
9000088,5269638,20134,107398.0,2024-07-21,1,145.57,Changed Mind,Approved
9000089,5164650,21774,135455.0,2026-03-09,1,8841.39,Damaged,Approved
9000090,5284512,21490,117788.0,2024-06-24,1,1174.52,Damaged,Approved
9000091,5077995,21938,149652.0,2026-04-03,1,2917.33,Damaged,Approved
9000092,5264284,20009,100811.0,2025-09-16,1,2604.84,Wrong Item,Approved
9000093,5067840,20518,107314.0,2024-09-19,1,5340.52,Changed Mind,Approved
9000094,5088132,21490,104485.0,2025-10-29,2,2349.04,Changed Mind,Approved
9000095,5173741,21589,143903.0,2024-04-26,1,43593.24,Not as Expected,Approved
9000096,5020483,20666,141285.0,2024-08-20,2,2569.7,Changed Mind,Approved
9000097,5208787,21020,146548.0,2024-02-27,2,21267.74,Quality Issue,Approved
9000098,5141344,21930,148033.0,2026-06-09,1,876.05,Changed Mind,Approved
9000099,5086398,21478,149104.0,2025-12-01,1,6269.63,Damaged,Approved
9000100,5225774,20189,129265.0,2025-06-29,1,6056.2,Wrong Item,Approved
9000101,5132231,21196,133165.0,2024-09-29,1,1930.16,Changed Mind,Approved
9000102,5050193,21140,102296.0,2024-08-01,2,3936.24,Quality Issue,Approved
9000103,5121795,20612,135722.0,2024-06-21,1,4987.19,Damaged,Approved
9000104,5182731,20376,145392.0,2024-12-28,1,4463.91,Quality Issue,Approved
9000105,5486666,20900,147539.0,2026-05-30,1,12258.98,Wrong Item,Approved
9000106,5368619,21824,143631.0,2025-08-14,1,7603.92,Damaged,Approved
9000107,5189168,20505,120714.0,2025-07-25,1,3365.12,Wrong Item,Approved
9000108,5060281,21916,100646.0,2026-06-12,1,3601.4,Damaged,Approved
9000109,5201104,21231,132725.0,2024-10-22,1,2657.61,Damaged,Approved
9000110,5180365,20795,132536.0,2026-01-03,1,3756.65,Not as Expected,Approved
9000111,5128721,21857,106978.0,2024-05-16,1,1309.48,Quality Issue,Approved
9000112,5139307,21351,102481.0,2024-11-13,1,1436.42,Not as Expected,Approved
9000113,5029636,21144,102832.0,2024-11-11,1,1663.36,Wrong Item,Approved
9000114,5492892,21152,118772.0,2025-04-12,1,14624.6,Wrong Item,Approved
9000115,5530905,21011,133133.0,2025-07-14,1,5940.51,Quality Issue,Approved
9000116,5193113,21562,133710.0,2025-09-11,2,3838.24,Not as Expected,Approved
9000117,5074920,20499,106557.0,2024-10-12,2,2284.28,Not as Expected,Approved
9000118,5309168,21611,106451.0,2024-11-20,1,5283.31,Wrong Item,Approved
9000119,5301549,21829,125144.0,2026-03-06,2,10671.08,Damaged,Approved
9000120,5036110,20151,149486.0,2026-06-11,1,4119.03,Changed Mind,Approved
9000121,5473147,20398,139387.0,2025-11-15,2,1560.58,Damaged,Approved
9000122,5406313,20105,149061.0,2024-10-30,1,5164.48,Changed Mind,Approved
9000123,5212444,20647,127185.0,2025-11-09,1,5439.0,Quality Issue,Approved
9000124,5463867,20370,117863.0,2026-02-04,1,35518.26,Not as Expected,Approved
9000125,5398124,21874,100140.0,2025-03-29,1,32601.37,Damaged,Approved
9000126,5373088,20378,111250.0,2026-05-03,1,1412.07,Quality Issue,Approved
9000127,5312716,21984,129401.0,2024-04-20,3,3787.8,Wrong Item,Approved
9000128,5467308,21331,128807.0,2025-02-04,1,17531.38,Quality Issue,Approved
9000129,5225607,21615,126574.0,2024-02-28,1,298.04,Not as Expected,Approved
9000130,5012228,20913,135437.0,2025-04-07,1,8601.2,Damaged,Approved
9000131,5447092,21240,142606.0,2026-03-04,2,2753.73,Quality Issue,Approved
9000132,5286986,20925,110395.0,2025-03-25,2,2589.39,Quality Issue,Approved
9000133,5421159,21865,137374.0,2026-06-06,2,4401.44,Wrong Item,Approved
9000134,5266366,20133,144936.0,2024-12-25,1,9887.68,Changed Mind,Approved
9000135,5424847,20249,145598.0,2024-05-07,1,2418.52,Changed Mind,Approved
9000136,5377332,20366,135253.0,2025-01-21,1,34068.66,Changed Mind,Approved
9000137,5432078,21086,105692.0,2024-03-20,1,38019.12,Damaged,Approved
9000138,5359171,20467,146722.0,2024-06-02,1,5348.45,Quality Issue,Approved
9000139,5412971,21413,138211.0,2026-03-12,3,5687.18,Quality Issue,Approved
9000140,5507730,20981,134020.0,2026-01-08,1,33632.96,Quality Issue,Approved
9000141,5055807,21329,130006.0,2025-05-25,1,14494.75, Quality Issue ,Approved
9000142,5403958,20325,105101.0,2024-05-19,1,3299.2,Changed Mind,Approved
9000143,5489818,20305,124579.0,2024-02-27,2,18351.02,Quality Issue,Approved
9000144,5114791,20907,146676.0,2024-01-20,2,2530.39,Changed Mind,Approved
9000145,5544861,20621,144616.0,2024-03-11,2,16296.8,Damaged,Pending
9000146,5214557,20234,112047.0,2024-02-29,4,13040.6,Quality Issue,Approved
9000147,5085487,21749,123820.0,2025-12-03,3,24425.84,Quality Issue,Approved
9000148,5452052,21671,129922.0,2025-12-27,1,1423.15,Changed Mind,Approved
9000149,5349289,21072,106051.0,2024-10-26,1,169.81,Changed Mind,Approved
9000150,5495818,21165,133784.0,2024-06-28,2,50074.67,Damaged,Approved
9000151,5209900,21703,112644.0,2024-06-11,2,10532.21,Damaged,Approved
9000152,5420355,20900,135341.0,2024-11-19,1,15323.73,Changed Mind,Pending
9000153,5325028,21354,114581.0,2024-07-09,2,14935.21,Changed Mind,Approved
9000154,5353169,21413,142263.0,2026-05-22,2,4212.72,Quality Issue,Approved
9000155,5114007,20476,136694.0,2024-08-04,1,4559.24,Quality Issue,Approved
9000156,5024803,21536,119416.0,2025-10-04,1,4839.45,Quality Issue,Approved
9000157,5392549,21475,140677.0,2026-02-14,1,29134.32,Wrong Item,Approved
9000158,5021587,20132,147427.0,2025-05-23,4,9989.64,Damaged,Approved
9000159,5041879,21631,132724.0,2025-02-13,1,3244.61,Changed Mind,Approved
9000160,5331530,21153,120002.0,2024-10-21,1,3378.6,Wrong Item,Approved
9000161,5323189,21999,115575.0,2025-02-06,2,17137.56,Wrong Item,Approved
9000162,5489289,20964,121042.0,2024-03-21,1,6337.57,Not as Expected,Approved
9000163,5459341,21771,121938.0,2024-03-27,2,4000.39,Changed Mind,Approved
9000164,5512193,20765,111983.0,2026-07-10,1,2004.53,Quality Issue,Approved
9000165,5324827,21816,142144.0,2024-10-31,2,5788.83,Wrong Item,Approved
9000166,5066071,21196,109187.0,2024-04-19,1,1737.14,Quality Issue,Approved
9000167,5457122,21336,122793.0,2025-08-12,2,7966.14,Damaged,Approved
9000168,5295325,20351,122505.0,2025-08-11,1,44366.1,Changed Mind,Approved
9000169,5119366,21159,120648.0,2024-02-04,2,48383.82,Damaged,Approved
9000170,5060316,20558,118928.0,,1,6515.78,Wrong Item,Approved
9000171,5365039,21816,105295.0,2025-09-04,2,6560.67,Damaged,Approved
9000172,5083662,20950,140303.0,2026-02-22,1,1414.18,Not as Expected,Approved
9000173,5505334,21877,107266.0,2025-03-04,2,6866.11,Changed Mind,Approved
9000174,5341962,20024,119820.0,2025-12-19,1,179.27,Damaged,Approved
9000175,5028696,21708,126256.0,2025-04-10,2,4414.46,Wrong Item,Approved
9000176,5143200,20230,124919.0,2025-04-20,1,11243.73,Changed Mind,Approved
9000177,5423951,21645,105602.0,2024-06-06,2,3599.96,Quality Issue,Approved
9000178,5311560,20187,133119.0,2025-02-27,1,15968.08,Changed Mind,Approved
9000179,5138483,21679,117764.0,2024-12-08,2,33056.73,Changed Mind,Approved
9000180,5277820,21391,141466.0,2026-06-09,1,3607.82,Not as Expected,Approved
9000181,5459228,21125,105740.0,2026-06-09,1,2448.25,Wrong Item,Approved
9000182,5413808,21059,107258.0,2025-12-18,2,3341.5,Damaged,Approved
9000183,5250560,20631,105639.0,2026-02-28,3,21200.67,Wrong Item,Approved
9000184,5412316,21549,101705.0,2026-06-24,1,964.2,Not as Expected,Approved
9000185,5315629,20162,121495.0,2025-04-30,1,5370.51,Damaged,Approved
9000186,5002723,21761,110803.0,2025-03-27,3,4078.65,Wrong Item,Approved
9000187,5277773,21295,134725.0,2024-02-25,1,2364.96,Quality Issue,Approved
9000188,5078280,20202,118722.0,2026-06-09,1,3820.44,Damaged,Approved
9000189,5109948,21359,106292.0,2025-09-01,2,2392.17,Changed Mind,Approved
9000190,5409281,20756,123370.0,2025-12-18,2,25194.08,Not as Expected,Approved
9000191,5503262,20543,109988.0,2025-09-05,1,37804.24,Quality Issue,Approved
9000192,5020887,20671,145753.0,2024-03-22,1,10684.45,Damaged,Approved
9000193,5239625,20343,123401.0,2025-07-24,1,2209.0,Changed Mind,Approved
9000194,5383828,20047,128858.0,2024-07-15,1,8750.3,Damaged,Approved
9000195,5248281,21985,125727.0,2025-10-19,1,34918.31,Quality Issue,Approved
9000196,5460892,20148,142075.0,2024-02-03,1,2359.39,Quality Issue,Approved
9000197,5037997,20997,137033.0,2024-03-11,3,12105.13,Not as Expected,Approved
9000198,5356776,21373,109781.0,2025-12-03,1,1311.21,Quality Issue,Approved
9000199,5293247,20779,137177.0,2024-08-06,3,43734.87,Not as Expected,Approved
9000200,5375306,21385,117706.0,2025-07-17,1,6301.59,Not as Expected,Approved
9000201,5359991,21574,120981.0,2024-11-14,1,26242.71,Quality Issue,Approved
9000202,5297672,20796,129007.0,2024-03-31,2,70098.58,Damaged,Approved
9000203,5451124,20583,145200.0,2025-08-25,1,36972.78,Wrong Item,Approved
9000204,5412582,20894,139078.0,2024-08-14,1,6111.53,Not as Expected,Approved
9000205,5367811,21703,111135.0,2024-02-21,1,4711.78,Wrong Item,Approved
9000206,5282492,21726,146837.0,2026-07-12,1,8887.58,Changed Mind,Approved
9000207,5369736,21321,132689.0,2024-04-02,1,8679.98,Quality Issue,Approved
9000208,5467243,21255,132992.0,2024-10-25,1,7053.23,Changed Mind,Approved
9000209,5514688,20529,140546.0,2024-06-20,2,1305.19,Not as Expected,Approved
9000210,5475959,21693,138274.0,2025-04-14,1,9451.08,Changed Mind,Approved
9000211,5199245,21882,145190.0,2024-02-25,1,1229.32,Not as Expected,Approved
9000212,5356465,20632,104406.0,2026-01-20,2,10947.82,Changed Mind,Approved
9000213,5293173,20151,114198.0,2025-05-01,2,8238.07,Wrong Item,Approved
9000214,5411057,20277,121603.0,2025-06-08,1,1256.51,Wrong Item,Approved
9000215,5131516,21081,126173.0,2025-11-29,1,4868.66,Damaged,Approved
9000216,5104818,20945,136136.0,2024-10-24,1,1053.31,Wrong Item,Approved
9000217,5508423,21674,122474.0,2024-05-05,1,5543.53,Changed Mind,Approved
9000218,5023875,20368,127163.0,2025-09-23,1,581.5,Wrong Item,Approved
9000219,5298203,21484,143171.0,2025-12-21,1,8925.88,Changed Mind,Approved
9000220,5142542,21200,104299.0,2024-07-26,1,29341.85,Damaged,Approved
9000221,5332881,20870,140466.0,2024-10-13,2,7785.66,Damaged,Approved
9000222,5051830,21337,107034.0,2025-05-12,1,266.66,Quality Issue,Approved
9000223,5489515,20567,121335.0,2026-05-11,1,738.38,Damaged,Approved
9000224,5195115,20483,126129.0,2026-01-06,2,13929.49,Damaged,Approved
9000225,5213222,20415,131398.0,2024-03-27,2,1077.95,Damaged,Approved
9000226,5238198,21654,135102.0,2024-12-28,1,2286.37,Wrong Item,Approved
9000227,5287404,21384,125440.0,2025-04-16,2,9970.95,Changed Mind,Approved
9000228,5189047,21000,134720.0,2025-01-30,2,23659.12,Changed Mind,Approved
9000229,5483657,20344,119415.0,2025-03-19,1,22928.48,Changed Mind,Approved
9000230,5396235,21948,139404.0,2025-03-19,1,15420.84,Changed Mind,Approved
9000231,5474446,20229,116960.0,2025-04-14,1,39941.39,Quality Issue,Approved
9000232,5306262,20218,101987.0,2025-05-31,1,388.51,Wrong Item,Approved
9000233,5092318,20522,142969.0,2024-07-15,1,5222.55,Not as Expected,Approved
9000234,5231059,21939,123039.0,2026-03-17,1,994.02,Quality Issue,Approved
9000235,5177133,20256,105888.0,2024-10-24,1,18984.81,Changed Mind,Approved
9000236,5196978,21309,111870.0,2024-08-28,1,-2182.22,Quality Issue,Approved
9000237,5068178,21257,104912.0,2024-08-15,3,1920.05,Not as Expected,Approved
9000238,5298977,21403,113626.0,2024-11-29,1,12754.69,Damaged,Approved
9000239,5390503,21959,115826.0,2025-10-19,1,6442.07,Quality Issue,Approved
9000240,5001349,21787,134334.0,2024-01-21,1,962.64,Wrong Item,Approved
9000241,5548553,21587,131608.0,2025-12-09,3,19530.12,Damaged,Approved
9000242,5370636,20575,122885.0,2026-05-09,4,20185.24,Wrong Item,Approved
9000243,5030911,20725,121749.0,2026-03-28,1,3543.27,Quality Issue,Approved
9000244,5362445,20806,111051.0,2024-06-29,1,1672.15,Quality Issue,Approved
9000245,5218941,20158,111903.0,2026-04-16,1,2690.49,Quality Issue,Approved
9000246,5292265,20661,118774.0,2026-01-14,1,1145.9,Not as Expected,Approved
9000247,5186827,20279,140847.0,2024-09-11,1,1657.82,Quality Issue,Approved
9000248,5499394,21270,121773.0,2025-09-13,3,23005.86,Wrong Item,Approved
9000249,5121807,21519,110953.0,2024-10-01,2,23774.34,Damaged,Approved
9000250,5530419,21844,123901.0,2024-05-18,2,1877.33,Damaged,Approved
9000251,5008856,21261,102251.0,2024-08-12,1,440.53,Quality Issue,Approved
9000252,5378112,21377,109332.0,2024-04-12,1,22901.11,Damaged,Approved
9000253,5066319,20788,121511.0,2025-06-13,1,9871.19,Not as Expected,Approved
9000254,5418840,21966,101372.0,2024-01-25,1,34873.86,Quality Issue,Approved
9000255,5016193,20327,136771.0,2026-02-20,1,873.03,Quality Issue,Approved
9000256,5513646,21884,149388.0,2024-06-23,1,1967.78,Not as Expected,Approved
9000257,5431181,21885,147839.0,2026-07-03,1,20011.64,Wrong Item,Approved
9000258,5010892,20906,132752.0,2024-06-24,2,1451.9,Not as Expected,Approved
9000259,5496646,21909,105485.0,2026-01-20,1,8691.73,Quality Issue,Approved
9000260,5356517,20102,110659.0,2024-10-17,1,3665.02,Wrong Item,Approved
9000261,5286361,20790,137474.0,2025-02-14,2,1887.9,Not as Expected,Approved
9000262,5130431,21260,107184.0,2025-10-25,1,1178.87,Wrong Item,Approved
9000263,5385162,20403,145082.0,2024-12-27,2,75627.12,Changed Mind,Approved
9000264,5090615,20662,130930.0,2025-04-01,1,6984.32,Not as Expected,Approved
9000265,5009066,21588,111250.0,2025-07-08,1,1605.85,Not as Expected,Approved
9000266,5140923,21345,106640.0,2024-07-23,1,509.94,Damaged,Approved
9000267,5293689,20417,104563.0,2024-06-13,2,2983.7,Not as Expected,Approved
9000268,5325239,21782,127280.0,2025-10-12,2,8893.67,Wrong Item,Approved
9000269,5330938,20546,129653.0,2024-03-18,1,2400.84,Not as Expected,Approved
9000270,5051662,21294,114621.0,2024-01-14,1,15248.14,Damaged,Approved
9000271,5245903,21648,116284.0,2025-01-06,3,13093.73,Quality Issue,Approved
9000272,5513908,20339,145293.0,2025-11-14,1,6328.86,Changed Mind,Approved
9000273,5315201,21578,133947.0,2025-06-22,1,11897.79,Not as Expected,Approved
9000274,5042994,20132,132207.0,2026-03-07,2,5582.45,Changed Mind,Approved
9000275,5319616,20540,142646.0,2025-04-02,1,40867.75,Changed Mind,Approved
9000276,5302223,20098,128137.0,2024-02-23,2,7904.58,Quality Issue,Approved
9000277,5007380,21922,122752.0,2024-05-17,1,5596.74,Not as Expected,Approved
9000278,5541473,21427,148797.0,2024-06-11,2,33593.73,Quality Issue,Approved
9000279,5082453,20039,110005.0,2026-06-06,3,11502.81,Changed Mind,Approved
9000280,5229253,20782,148479.0,2026-04-03,3,31529.17,Damaged,Approved
9000281,5067850,21551,107433.0,2025-03-27,3,1278.97,Not as Expected,Approved
9000282,5121817,21169,126736.0,2024-11-10,1,14552.01,Changed Mind,Approved
9000283,5025571,20738,124019.0,2025-11-10,1,844.46,Not as Expected,Approved
9000284,5217869,20591,141543.0,2026-03-29,1,3324.98,Not as Expected,Approved
9000285,5294323,20633,127729.0,2024-11-15,2,16191.82,Not as Expected,Approved
9000286,5523375,21190,128773.0,2024-04-25,1,32822.68,Damaged,Approved
9000287,5521079,20825,121599.0,2026-05-25,1,4907.97,Damaged,Approved
9000288,5253776,21316,126321.0,2024-07-25,2,3876.91,Quality Issue,Approved
9000289,5462802,20487,118023.0,2025-10-20,1,23066.99,Changed Mind,Approved
9000290,5078022,20091,137875.0,2026-01-19,2,6946.87,Not as Expected,Approved
9000291,5496987,21795,115688.0,2024-05-05,2,6236.21,Wrong Item,Approved
9000292,5060551,20669,141241.0,2025-10-08,2,2573.2,Wrong Item,Approved
9000293,5377118,20443,113840.0,2025-03-07,1,1662.95,Damaged,Approved
9000294,5471564,20922,103438.0,2024-08-08,2,3005.39,Not as Expected,Approved
9000295,5092522,21712,131553.0,2025-06-04,1,36530.74,Not as Expected,Pending
9000296,5437654,20822,139047.0,2025-08-31,2,2966.96,Damaged,Approved
9000297,5331730,21752,119580.0,2025-08-20,1,2083.23,Damaged,Approved
9000298,5462157,21780,119823.0,2026-01-12,1,4529.82,Not as Expected,Approved
9000299,5368830,20954,113548.0,2026-06-02,2,9985.55,Damaged,Approved
9000300,5518898,21363,124178.0,2024-07-10,3,631.83,Changed Mind,Approved
9000301,5007069,20296,149916.0,2026-01-18,2,7662.34,Changed Mind,Approved
9000302,5166118,21307,116773.0,2025-02-23,1,4215.74,Quality Issue,Approved
9000303,5148026,21987,139355.0,2026-04-15,1,6329.8,Damaged,Approved
9000304,5126183,21314,115726.0,2025-01-30,2,11566.39,Damaged,Approved
9000305,5134519,20987,108017.0,2026-05-16,1,441.07,Changed Mind,Approved
9000306,5354654,21073,148132.0,2025-04-03,1,5593.69,Wrong Item,Approved
9000307,5050547,21008,139788.0,2025-12-02,1,3090.8,Damaged,Pending
9000308,5104374,20377,120760.0,2026-01-14,2,2718.66,Wrong Item,Approved
9000309,5107999,20089,114915.0,2025-08-08,1,990.61,Not as Expected,Approved
9000310,5531911,21063,121042.0,2025-10-29,1,699.38,Not as Expected,Approved
9000311,5343476,21070,124371.0,2025-11-07,1,3085.98,Quality Issue,Approved
9000312,5006762,21849,148450.0,2024-04-02,1,6961.6,Damaged,Approved
9000313,5542914,21757,113565.0,2024-03-01,1,13181.43,Quality Issue,Approved
9000314,5530483,21678,115385.0,2025-05-01,1,3279.07,Changed Mind,Approved
9000315,5278950,21048,121448.0,2024-10-15,1,2341.64,Changed Mind,Approved
9000316,5280143,20667,110141.0,2024-06-22,3,5678.83,Changed Mind,Approved
9000317,5472353,21937,148191.0,2024-07-07,2,13612.82,Wrong Item,Approved
9000318,5480571,21539,145641.0,2024-03-04,1,12438.39,Quality Issue,Approved
9000319,5070904,21586,134808.0,2024-01-09,1,5087.11,Quality Issue,Approved
9000320,5268744,20082,101643.0,2024-02-01,1,3863.18,Quality Issue,Approved
9000321,5497265,21644,145486.0,2025-05-08,1,13181.23,Quality Issue,Approved
9000322,5388387,20166,134592.0,2025-11-03,1,19081.91,Damaged,Approved
9000323,5144104,20374,102993.0,2025-08-25,5,19830.01,Quality Issue,Approved
9000324,5237033,20753,119919.0,2025-05-30,1,722.42,Quality Issue,Approved
9000325,5401489,20425,106545.0,2026-05-24,2,5096.05,Changed Mind,Approved
9000326,5276851,21357,102203.0,2025-06-14,1,5871.95,Quality Issue,Approved
9000327,5209302,20037,139709.0,2026-03-28,4,12216.2,Quality Issue,Approved
9000328,5043290,21601,109203.0,2025-08-18,2,372.45,Damaged,Approved
9000329,5386754,21429,107382.0,2024-03-15,1,4934.37,Wrong Item,Approved
9000330,5245458,20802,149592.0,2024-10-08,2,2608.64,Quality Issue,Approved
9000331,5286564,21029,117691.0,2024-07-20,2,3211.84,Damaged,Approved
9000332,5056557,21891,111727.0,2024-06-27,2,17006.07,Changed Mind,Approved
9000333,5162336,21708,131225.0,2025-08-01,1,2337.07,Quality Issue,Approved
9000334,5027583,21114,104268.0,2024-12-07,1,294.05,Damaged,Approved
9000335,5303066,20244,117776.0,2025-11-13,1,676.6,Damaged,Approved
9000336,5299860,20080,131484.0,2026-02-09,3,666.78,Wrong Item,Approved
9000337,5491447,21627,115119.0,2025-11-19,2,8945.65,Quality Issue,Approved
9000338,5016182,20024,131906.0,2025-08-17,1,169.84,Not as Expected,Approved
9000339,5247826,21599,149592.0,2026-03-03,1,2779.44,Wrong Item,Approved
9000340,5186892,21467,131158.0,2024-10-12,1,398.27,Changed Mind,Approved
9000341,5373053,20064,132808.0,2026-07-04,2,2422.86,Damaged,Approved
9000342,5325181,21474,130314.0,2024-06-04,1,2284.33,Quality Issue,Approved
9000343,5192011,20132,128783.0,2026-07-01,1,2644.32,Quality Issue,Approved
